Scenario,PERIOD,Tx_type,MW_Tx,Baseline_Scenario,MW_Tx_baseline,Delta_MW_Tx,Tx_perc_change_from_baseline
MIROC5,2030,Total Tx Nameplate Capacity,402312.61,Baseline no CC,405855.1,-3542.49,-0.009
MIROC5,2035,Total Tx Nameplate Capacity,410772.5689,Baseline no CC,417412.89,-6640.32115,-0.016
MIROC5,2040,Total Tx Nameplate Capacity,451547.8589,Baseline no CC,448558.19,2989.66885,0.007
MIROC5,2045,Total Tx Nameplate Capacity,469688.1789,Baseline no CC,462509.55,7178.62885,0.016
MIROC5,2050,Total Tx Nameplate Capacity,493765.3989,Baseline no CC,481162.59,12602.80885,0.026
MPI-ESM-LR,2030,Total Tx Nameplate Capacity,402179.06,Baseline no CC,405855.1,-3676.039981,-0.009
MPI-ESM-LR,2035,Total Tx Nameplate Capacity,407100.8,Baseline no CC,417412.89,-10312.08997,-0.025
MPI-ESM-LR,2040,Total Tx Nameplate Capacity,436650.62,Baseline no CC,448558.19,-11907.56997,-0.027
MPI-ESM-LR,2045,Total Tx Nameplate Capacity,453840.6601,Baseline no CC,462509.55,-8668.889931,-0.019
MPI-ESM-LR,2050,Total Tx Nameplate Capacity,475160.3901,Baseline no CC,481162.59,-6002.199909,-0.012
bcc-csm1-1,2030,Total Tx Nameplate Capacity,407018.55,Baseline no CC,405855.1,1163.45,0.003
bcc-csm1-1,2035,Total Tx Nameplate Capacity,415733.32,Baseline no CC,417412.89,-1679.57,-0.004
bcc-csm1-1,2040,Total Tx Nameplate Capacity,436362.82,Baseline no CC,448558.19,-12195.37,-0.027
bcc-csm1-1,2045,Total Tx Nameplate Capacity,470191.09,Baseline no CC,462509.55,7681.54,0.017
bcc-csm1-1,2050,Total Tx Nameplate Capacity,484258.14,Baseline no CC,481162.59,3095.55,0.006
ACCESS-1.0,2030,Cumulative New Tx Capacity Built,3694.215,Baseline no CC,8720.105,-5025.89,-0.576
ACCESS-1.0,2035,Cumulative New Tx Capacity Built,21992.561,Baseline no CC,20277.885,1714.676,0.085
ACCESS-1.0,2040,Cumulative New Tx Capacity Built,40623.991,Baseline no CC,51423.2719,-10799.2809,-0.21
ACCESS-1.0,2045,Cumulative New Tx Capacity Built,58789.787,Baseline no CC,65374.8299,-6585.0429,-0.101
ACCESS-1.0,2050,Cumulative New Tx Capacity Built,78919.876,Baseline no CC,84026.9929,-5107.1169,-0.061
CCSM,2030,Cumulative New Tx Capacity Built,6099.430394,Baseline no CC,8720.105,-2620.674606,-0.301
CCSM,2035,Cumulative New Tx Capacity Built,16231.13622,Baseline no CC,20277.885,-4046.748783,-0.2
CCSM,2040,Cumulative New Tx Capacity Built,51285.2788,Baseline no CC,51423.2719,-137.9930953,-0.003
CCSM,2045,Cumulative New Tx Capacity Built,65230.83922,Baseline no CC,65374.8299,-143.9906824,-0.002
CCSM,2050,Cumulative New Tx Capacity Built,74232.14973,Baseline no CC,84026.9929,-9794.843172,-0.117
CESM1-BGC,2030,Cumulative New Tx Capacity Built,9178.397308,Baseline no CC,8720.105,458.2923079,0.053
CESM1-BGC,2035,Cumulative New Tx Capacity Built,17778.57389,Baseline no CC,20277.885,-2499.311113,-0.123
CESM1-BGC,2040,Cumulative New Tx Capacity Built,36437.10082,Baseline no CC,51423.2719,-14986.17108,-0.291
CESM1-BGC,2045,Cumulative New Tx Capacity Built,74131.87621,Baseline no CC,65374.8299,8757.046312,0.134
CESM1-BGC,2050,Cumulative New Tx Capacity Built,87830.11227,Baseline no CC,84026.9929,3803.119369,0.045
CESM1-CAM5,2030,Cumulative New Tx Capacity Built,2681.061,Baseline no CC,8720.105,-6039.044,-0.693
CESM1-CAM5,2035,Cumulative New Tx Capacity Built,12074.572,Baseline no CC,20277.885,-8203.313,-0.405
CESM1-CAM5,2040,Cumulative New Tx Capacity Built,45460.672,Baseline no CC,51423.2719,-5962.5999,-0.116
CESM1-CAM5,2045,Cumulative New Tx Capacity Built,73070.83202,Baseline no CC,65374.8299,7696.002116,0.118
CESM1-CAM5,2050,Cumulative New Tx Capacity Built,97118.89203,Baseline no CC,84026.9929,13091.89913,0.156
CMCC-CM,2030,Cumulative New Tx Capacity Built,5888.45,Baseline no CC,8720.105,-2831.655,-0.325
CMCC-CM,2035,Cumulative New Tx Capacity Built,18652.838,Baseline no CC,20277.885,-1625.047,-0.08
CMCC-CM,2040,Cumulative New Tx Capacity Built,41153.43601,Baseline no CC,51423.2719,-10269.83589,-0.2
CMCC-CM,2045,Cumulative New Tx Capacity Built,42915.40203,Baseline no CC,65374.8299,-22459.42787,-0.344
CMCC-CM,2050,Cumulative New Tx Capacity Built,46794.42603,Baseline no CC,84026.9929,-37232.56687,-0.443
CMCC-CMS,2030,Cumulative New Tx Capacity Built,3193.2,Baseline no CC,8720.105,-5526.905,-0.634
CMCC-CMS,2035,Cumulative New Tx Capacity Built,11960.991,Baseline no CC,20277.885,-8316.894,-0.41
CMCC-CMS,2040,Cumulative New Tx Capacity Built,19387.238,Baseline no CC,51423.2719,-32036.0339,-0.623
CMCC-CMS,2045,Cumulative New Tx Capacity Built,41981.118,Baseline no CC,65374.8299,-23393.7119,-0.358
CMCC-CMS,2050,Cumulative New Tx Capacity Built,52507.918,Baseline no CC,84026.9929,-31519.0749,-0.375
CNRM-CM5,2030,Cumulative New Tx Capacity Built,3996.71,Baseline no CC,8720.105,-4723.395,-0.542
CNRM-CM5,2035,Cumulative New Tx Capacity Built,9329.18,Baseline no CC,20277.885,-10948.705,-0.54
CNRM-CM5,2040,Cumulative New Tx Capacity Built,29639.26,Baseline no CC,51423.2719,-21784.0119,-0.424
CNRM-CM5,2045,Cumulative New Tx Capacity Built,69624.274,Baseline no CC,65374.8299,4249.4441,0.065
CNRM-CM5,2050,Cumulative New Tx Capacity Built,81093.41402,Baseline no CC,84026.9929,-2933.57888,-0.035
CanESM,2030,Cumulative New Tx Capacity Built,9854.336,Baseline no CC,8720.105,1134.231,0.13
CanESM,2035,Cumulative New Tx Capacity Built,17268.156,Baseline no CC,20277.885,-3009.729,-0.148
CanESM,2040,Cumulative New Tx Capacity Built,45455.376,Baseline no CC,51423.2719,-5967.8959,-0.116
CanESM,2045,Cumulative New Tx Capacity Built,67997.9839,Baseline no CC,65374.8299,2623.154,0.04
CanESM,2050,Cumulative New Tx Capacity Built,81611.68392,Baseline no CC,84026.9929,-2415.308978,-0.029
GFDL-CM3,2030,Cumulative New Tx Capacity Built,4661.15002,Baseline no CC,8720.105,-4058.95498,-0.465
GFDL-CM3,2035,Cumulative New Tx Capacity Built,13318.91205,Baseline no CC,20277.885,-6958.972953,-0.343
GFDL-CM3,2040,Cumulative New Tx Capacity Built,43995.37017,Baseline no CC,51423.2719,-7427.901734,-0.144
GFDL-CM3,2045,Cumulative New Tx Capacity Built,70380.13618,Baseline no CC,65374.8299,5005.306278,0.077
GFDL-CM3,2050,Cumulative New Tx Capacity Built,94375.01839,Baseline no CC,84026.9929,10348.02549,0.123
GFDL-ESM2M,2030,Cumulative New Tx Capacity Built,4309.36,Baseline no CC,8720.105,-4410.745,-0.506
GFDL-ESM2M,2035,Cumulative New Tx Capacity Built,12797.49,Baseline no CC,20277.885,-7480.395,-0.369
GFDL-ESM2M,2040,Cumulative New Tx Capacity Built,31198.196,Baseline no CC,51423.2719,-20225.0759,-0.393
GFDL-ESM2M,2045,Cumulative New Tx Capacity Built,41908.53602,Baseline no CC,65374.8299,-23466.29388,-0.359
GFDL-ESM2M,2050,Cumulative New Tx Capacity Built,73065.38807,Baseline no CC,84026.9929,-10961.60483,-0.13
HadGEM2-CC,2030,Cumulative New Tx Capacity Built,9045.98,Baseline no CC,8720.105,325.875,0.037
HadGEM2-CC,2035,Cumulative New Tx Capacity Built,23974.502,Baseline no CC,20277.885,3696.617,0.182
