"load_zone","ts_period","energy_category","Energy_GWh_typical_yr","Scenario","Energy_GWh_typical_yr_Baseline","Baseline_Scenario","Delta_AnnualGen_GWh","AnnualGen_perc_change_from_baseline","climate_impacts_included","energy_category_disagg"
"AZ_APS_N",2030,"zone_demand_GWh",8022.9946,"HadGEM2-ES",7970.68064,"Baseline no CC",52.3139600000004,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8017.42329,"MIROC5",7970.68064,"Baseline no CC",46.7426500000001,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8027.17811,"MPI-ESM-LR",7970.68064,"Baseline no CC",56.4974700000012,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2030,"zone_demand_GWh",8026.5263,"bcc-csm1-1",7970.68064,"Baseline no CC",55.84566,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8532.79599,"ACCESS-1.0",8476.34072,"Baseline no CC",56.4552700000004,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8524.84767,"CCSM",8476.34072,"Baseline no CC",48.5069499999991,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8506.82177,"CESM1-BGC",8476.34072,"Baseline no CC",30.4810499999985,0.004,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8524.25968,"CESM1-CAM5",8476.34072,"Baseline no CC",47.9189599999991,0.006,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8538.45808,"CMCC-CM",8476.34072,"Baseline no CC",62.1173600000002,0.007,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8520.12665,"CMCC-CMS",8476.34072,"Baseline no CC",43.78593,0.005,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8472.19958,"CNRM-CM5",8476.34072,"Baseline no CC",-4.14113999999972,0,"Hydropower and Water Load Scenarios","Water Load"
"AZ_APS_N",2035,"zone_demand_GWh",8524.73928,"CanESM",8476.34072,"Baseline no CC",48.3985599999996,0.006,"Hydropower and Water Load Scenarios","Water Load"
